item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12
animal fries,grilled chicken jamaican tender,,,,,,,,,,
fried chicken angara tender,fried chicken ghostbuster tender,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken angara tender,grilled chicken jamaican tender,,,,,,,,,
fried chicken peri peri tender,fried chicken classic tender,,,,,,,,,,
bone in peri peri grilled chicken,bone in angara grilled chicken,,,,,,,,,,
bone in angara grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken angara tender,bone in smoky bbq grilled chicken,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken angara tender,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken angara tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,salted fries,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
aac saucy fries,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
animal fries,,,,,,,,,,,
angara rice,grilled chicken peri peri tangdi,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken smoky bbq tender,fried chicken peri peri tenders + peri peri fries,,,,,,,,,
fried chicken peri peri tenders + peri peri fries,bone in angara grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in angara grilled chicken,bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,
grilled chicken peri peri tangdi,bone in peri peri grilled chicken,,,,,,,,,,
animal fries,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
aac signature fries,,,,,,,,,,,
bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in angara grilled chicken,fried chicken peri peri tenders + peri peri fries,,,,,,,,,,
bone in kabuli grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
grilled chicken tangdi jamaican + salted krispers,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
angara rice,fried chicken angara tender,angara aloo tuk tuki,onion bombs,,,,,,,,
aac saucy fries,fried chicken peri peri tender,grilled chicken peri peri tender,,,,,,,,,
aac saucy fries,,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
peri peri fries,fried chicken kabuli tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
fried chicken angara tender,fried chicken kabuli tender,animal fries,,,,,,,,,
angara rice,bone in jamaican grilled chicken,angara aloo tuk tuki,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
animal fries,,,,,,,,,,,
angara rice,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken tangdi jamaican + salted krispers,bone in jamaican grilled chicken quarter + angara rice,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
peri peri fries,fried chicken peri peri tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
ghostbuster sauce,bone in peri peri grilled chicken,bone in smoky bbq grilled chicken,bone in jamaican grilled chicken,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
peri peri fries,,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
peri peri fries,grilled chicken angara tender,bone in peri peri grilled chicken,,,,,,,,,
bone in jamaican grilled chicken,fried chicken classic tender,grilled chicken smoky bbq tender,,,,,,,,,
animal fries,,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken angara tangdi,bone in peri peri grilled chicken,animal fries,,,,,,,,
animal fries,,,,,,,,,,,
aac signature fries,animal fries,fried chicken angara tender,cafreal dip,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,grilled chicken jamaican tangdi,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken kabuli tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tender,fried chicken peri peri tender,,,,,,,,,,
fried chicken angara tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
fried chicken classic tender,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken smoky bbq tender,bone in angara grilled chicken,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,salted fries,,,,,,,,,,
animal fries,,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
onion bombs,,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
jamaican sauce,aac signature fries,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
fried chicken peri peri tenders + peri peri fries,,,,,,,,,,,
bone in kabuli grilled chicken,harisa mayo,,,,,,,,,,
grilled chicken peri peri tender,,,,,,,,,,,
bone in kabuli grilled chicken,grilled chicken jamaican tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken peri peri tangdi,bone in peri peri grilled chicken,,,,,,,,,,
fried chicken peri peri tender,bone in peri peri grilled chicken,,,,,,,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
animal fries,grilled chicken angara tangdi,,,,,,,,,,
grilled chicken jamaican tender,bone in peri peri grilled chicken,,,,,,,,,,
garlic aioli,cafreal dip,bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,
fried chicken angara tender,onion bombs,bone in jamaican grilled chicken quarter + angara rice,fried chicken peri peri tenders + peri peri fries,,,,,,,,
fried chicken peri peri tender,onion bombs,,,,,,,,,,
animal fries,bone in peri peri grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken jamaican tangdi,,,,,,,,,,
animal fries,grilled chicken peri peri tangdi,,,,,,,,,,
angara rice,grilled chicken peri peri tender,grilled chicken jamaican tender,,,,,,,,,
fried chicken peri peri tender,bone in jamaican grilled chicken,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in angara grilled chicken,,,,,,,,,,
bone in angara grilled chicken,grilled chicken tangdi jamaican + salted krispers,,,,,,,,,,
bone in kabuli grilled chicken,garlic aioli,bone in jamaican grilled chicken,,,,,,,,,
grilled chicken smoky bbq tender,bone in jamaican grilled chicken,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
bone in peri peri grilled chicken,fried chicken classic tender,,,,,,,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken peri peri tender,animal fries,grilled chicken jamaican tender,fried chicken angara tender,kabuli grilled paneer (8 pcs),aac saucy fries,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,bone in smoky bbq grilled chicken,bone in angara grilled chicken,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
grilled chicken smoky bbq tender,grilled chicken jamaican tender,,,,,,,,,,
grilled chicken peri peri tangdi,grilled chicken smoky bbq tender,,,,,,,,,,
aac saucy fries,angara grilled paneer (8 pcs),,,,,,,,,,
fried chicken classic tender,bone in jamaican grilled chicken,,,,,,,,,,
animal fries,harisa mayo,bone in jamaican grilled chicken,,,,,,,,,
bone in angara grilled chicken,fried chicken classic tender,,,,,,,,,,
grilled chicken smoky bbq tender,grilled chicken jamaican tender,salted fries,aac special slaw,,,,,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,fried chicken ghostbuster tender,grilled chicken jamaican tender,animal fries,grilled chicken smoky bbq tangdi,bone in kabuli grilled chicken,grilled chicken angara tender,fried chicken peri peri tender,,,,
bone in angara grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
fried chicken angara tender,fried chicken peri peri tender,,,,,,,,,,
garlic aioli,aac signature fries,grilled chicken peri peri tangdi,,,,,,,,,
bone in jamaican grilled chicken,fried chicken ghostbuster tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken angara tender,animal fries,,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
bone in jamaican grilled chicken,bone in smoky bbq grilled chicken,,,,,,,,,,
grilled chicken angara tender,angara aloo tuk tuki,grilled chicken jamaican tender,,,,,,,,,
bone in peri peri grilled chicken,bone in jamaican grilled chicken,,,,,,,,,,
fried chicken angara tender,bone in kabuli grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
bone in smoky bbq grilled chicken,,,,,,,,,,,
grilled chicken smoky bbq tender,,,,,,,,,,,
fried chicken peri peri tender,,,,,,,,,,,
bone in peri peri grilled chicken,angara aloo tuk tuki,onion bombs,,,,,,,,,
grilled chicken jamaican tender,grilled chicken angara tender,grilled chicken ghostbuster tangdi,bone in peri peri grilled chicken,,,,,,,,
grilled chicken smoky bbq tangdi,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
aac special slaw,angara rice,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
grilled chicken angara tender,,,,,,,,,,,
fried chicken peri peri tenders + peri peri fries,,,,,,,,,,,
bone in jamaican grilled chicken,bone in kabuli grilled chicken,,,,,,,,,,
animal fries,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
animal fries,,,,,,,,,,,
animal fries,fried chicken angara tender,,,,,,,,,,
bone in peri peri grilled chicken,,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in peri peri grilled chicken,grilled chicken jamaican tangdi,,,,,,,,,,
grilled chicken jamaican tender,salted fries,,,,,,,,,,
bone in angara grilled chicken,,,,,,,,,,,
animal fries,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken peri peri tender,onion bombs,,,,,,,,,,
fried chicken peri peri tender,grilled chicken angara tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
bone in jamaican grilled chicken,grilled chicken angara tender,,,,,,,,,,
bone in jamaican grilled chicken,,,,,,,,,,,
fried chicken classic tender,,,,,,,,,,,
bone in jamaican grilled chicken,bone in peri peri grilled chicken,,,,,,,,,,
grilled chicken jamaican tender,,,,,,,,,,,
grilled chicken jamaican tender,bone in peri peri grilled chicken,,,,,,,,,,
fried chicken classic tender,fried chicken angara tender,,,,,,,,,,
grilled chicken jamaican tender,grilled chicken smoky bbq tangdi,,,,,,,,,,
tipsy tiger ginger ale,bone in jamaican grilled chicken,indian pico de-gallo,,,,,,,,,
grilled chicken peri peri tangdi,,,,,,,,,,,
aac saucy fries,,,,,,,,,,,
chilli cheese garlic bread,herbed potato,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
chilli cheese garlic bread,all about chicken pizza,bageecha pizza,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
mushroom pizza,bageecha pizza,indian masala fries,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
indian masala fries,chilli cheese garlic bread,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
masala paneer pide,chilli cheese garlic bread,,,,,,,,,,
margherita pizza,,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
tripple cheese pizza,makhani paneer pizza,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
all about chicken pizza,peri peri fries,fried chicken strips,,,,,,,,,
jamaican chicken melt,cheesy garlic bread,all about chicken pizza,,,,,,,,,
murgh amritsari seekh pizza,bageecha pizza,,,,,,,,,,
all about chicken pizza,bageecha pizza,,,,,,,,,,
masala paneer pide,,,,,,,,,,,
fried chicken strips,chilli cheese garlic bread,,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
murgh amritsari seekh pide,iced green tea - peach,,,,,,,,,,
herbed potato,,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
tripple cheese pizza,salted fries,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
cheesy garlic bread,tipsy tiger fresh lime soda,herbed potato,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
tipsy tiger ginger ale,jamaican chicken melt,,,,,,,,,,
murgh amritsari seekh melt,,,,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
mushroom pizza,,,,,,,,,,,
peri peri fries,peri peri paneer melt,,,,,,,,,,
bageecha pizza,herbed potato,,,,,,,,,,
murgh amritsari garlic bread,peri peri fries,chicken pepperoni pizza,,,,,,,,,
chilli cheese garlic bread,makhani paneer pizza,,,,,,,,,,
just pepperoni pizza,,,,,,,,,,,
murgh amritsari seekh pizza,margherita pizza,indian pico de-gallo,,,,,,,,,
makhani paneer pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
murgh amritsari garlic bread,,,,,,,,,,,
herbed potato,bageecha pizza,,,,,,,,,,
og cheese pide,salted fries,,,,,,,,,,
cheesy garlic bread,,,,,,,,,,,
mushroom mozzarella melt,,,,,,,,,,,
peri peri grilled chicken pizza,,,,,,,,,,,
chilli cheese garlic bread,peri peri fries,,,,,,,,,,
mushroom pizza,bageecha pizza,masala potato pide,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
bellpepper onion pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari seekh pizza,,,,,,,,,,,
harisa mayo,cheesy garlic bread,peri peri chicken melt,garlic aioli,murgh amritsari seekh melt,margherita pizza,,,,,,
harisa mayo,jamaican chicken melt,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
bageecha pizza,herbed potato,,,,,,,,,,
chilli cheese garlic bread,bageecha pizza,,,,,,,,,,
jamaican chicken melt,,,,,,,,,,,
herbed potato,just pepperoni pizza,,,,,,,,,,
cheesy garlic bread,bageecha pizza,,,,,,,,,,
bageecha pizza,cheesy garlic bread,peri peri grilled chicken pizza,,,,,,,,,
grilled tangdis,peri peri fries,herbed potato,all about chicken pizza,,,,,,,,
bageecha pizza,,,,,,,,,,,
tipsy tiger fresh lime soda,tipsy tiger ginger ale,desi pepperoni pizza,,,,,,,,,
peanut butter chocolate pide,,,,,,,,,,,
bageecha pizza,chilli cheese garlic bread,,,,,,,,,,
just pepperoni pizza,grilled tangdis,bageecha pizza,,,,,,,,,
masala paneer pide,,,,,,,,,,,
herbed potato,garlic aioli,,,,,,,,,,
herbed potato,,,,,,,,,,,
murgh amritsari garlic bread,malai gud pide,,,,,,,,,,
bageecha pizza,,,,,,,,,,,
cheesy garlic bread,murgh amritsari seekh pide,og cheese pide,garlic aioli,,,,,,,,
bageecha pizza,all about chicken pizza,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
margherita pizza,,,,,,,,,,,
chilli cheese garlic bread,indian masala fries,,,,,,,,,,
all about chicken pizza,,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
peri peri paneer pizza,,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,,,,,,,,,,
chilli cheese garlic bread,cheesy garlic bread,peri peri paneer pizza,bellpepper onion pizza,tripple cheese pizza,all about chicken pizza,,,,,,
salted fries,,,,,,,,,,,
all about chicken pizza,peri peri grilled chicken pizza,,,,,,,,,,
all about chicken pizza,margherita pizza,,,,,,,,,,
chilli cheese garlic bread,masala paneer pide,,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
chilli cheese garlic bread,masala paneer pide,,,,,,,,,,
murgh amritsari seekh pide,all about chicken pizza,,,,,,,,,,
margherita pizza,salted fries,,,,,,,,,,
just pepperoni pizza,bageecha pizza,,,,,,,,,,
og cheese pide,masala paneer pide,,,,,,,,,,
herbed potato,all about chicken pizza,murgh amritsari seekh pizza,,,,,,,,,
masala paneer pide,og cheese pide,,,,,,,,,,
all about chicken pizza,makhani paneer pizza,,,,,,,,,,
makhani paneer pizza,mushroom pizza,,,,,,,,,,
masala potato pide,,,,,,,,,,,
chilli cheese garlic bread,murgh amritsari seekh pide,,,,,,,,,,
masala paneer pide,murgh amritsari seekh pide,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
murgh amritsari seekh melt,jamaican chicken melt,,,,,,,,,,
murgh amritsari seekh melt,angara paneer melt,,,,,,,,,,
indian masala fries,peri peri fries,malai gud pide,all about chicken pizza,,,,,,,,
mushroom pizza,bageecha pizza,,,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
all about chicken pizza,just pepperoni pizza,,,,,,,,,,
murgh amritsari seekh melt,murgh amritsari seekh pide,,,,,,,,,,
margherita pizza,murgh amritsari seekh pide,,,,,,,,,,
just pepperoni pide,murgh amritsari seekh pide,,,,,,,,,,
spinach sumac pide,murgh amritsari seekh pide,,,,,,,,,,
murgh amritsari garlic bread,murgh amritsari seekh pide,,,,,,,,,,
bageecha pizza,margherita pizza,,,,,,,,,,
just pepperoni pide,murgh amritsari seekh pide,cheesy garlic bread,,,,,,,,,
makhani paneer pizza,just pepperoni pizza,,,,,,,,,,
murgh amritsari seekh pide,masala paneer pide,,,,,,,,,,
masala paneer pide,murgh amritsari garlic bread,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
peri peri fries,all about chicken pizza,mushroom pizza,indian masala fries,jamaican chicken melt,angara paneer melt,bageecha pizza,just pepperoni pizza,,,,
angara paneer melt,mushroom mozzarella melt,,,,,,,,,,
bageecha pizza,all about chicken pizza,,,,,,,,,,
masala paneer pide,bageecha pizza,,,,,,,,,,
fried chicken strips,cheesy garlic bread,angara paneer melt,,,,,,,,,
tripple cheese pizza,indian masala fries,,,,,,,,,,
margherita pizza,,,,,,,,,,,
tripple cheese pizza,,,,,,,,,,,
peri peri grilled chicken pizza,pepperoni garlic bread,,,,,,,,,,
just pepperoni pizza,indian masala fries,all about chicken pizza,,,,,,,,,
spinach sumac pide,masala paneer pide,,,,,,,,,,
all about chicken pizza,angara paneer melt,,,,,,,,,,
just pepperoni pizza,murgh amritsari seekh pide,,,,,,,,,,
margherita pizza,,,,,,,,,,,
chilli cheese garlic bread,,,,,,,,,,,
tripple cheese pizza,makhani paneer pizza,murgh amritsari seekh pide,chicken pepperoni pizza,,,,,,,,
cheesy garlic bread,margherita pizza,herbed potato,,,,,,,,,
murgh amritsari seekh pide,,,,,,,,,,,
bellpepper onion pizza,peri peri grilled chicken pizza,grilled tangdis,,,,,,,,,
murgh amritsari seekh pide,just pepperoni pide,,,,,,,,,,
bageecha pizza,murgh amritsari seekh pizza,,,,,,,,,,
peri peri paneer pizza,makhani paneer pizza,,,,,,,,,,
cheesy garlic bread,grilled tangdis,,,,,,,,,,
grilled tangdis,murgh amritsari garlic bread,,,,,,,,,,
peri peri fries,,,,,,,,,,,
peri peri paneer pizza,bageecha pizza,,,,,,,,,,
fried chicken strips,all about chicken pizza,herbed potato,mushroom pizza,,,,,,,,
spinach sumac pide,masala paneer pide,,,,,,,,,,
grilled tangdis,,,,,,,,,,,
bageecha pizza,salted fries,peri peri fries,all about chicken pizza,,,,,,,,
jamaican chicken melt,murgh amritsari seekh melt,,,,,,,,,,
jamaican chicken melt,margherita pizza,,,,,,,,,,
peri peri paneer pizza,tripple cheese pizza,,,,,,,,,,
