"timestamp","KPT duration (minutes)","Items in order","Order Status"
"2025-11-10 15:00:00","18.822990847460517","1 x Salad, 1 x Pasta","Delivered"
"2025-11-10 16:00:00","25.890663652292666","2 x Burger, 2 x Sandwich, 1 x Pizza, 1 x Pizza","Delivered"
"2025-11-10 17:00:00","22.246161128946724","1 x Sandwich, 1 x Wrap, 1 x Wrap","Delivered"
"2025-11-10 18:00:00","21.53331691839871","1 x Wrap, 1 x Sandwich","Delivered"
"2025-11-10 19:00:00","24.913449597526704","1 x Burger, 1 x Salad, 1 x Pizza","Delivered"
"2025-11-10 20:00:00","23.1244861470882","2 x Fries","Delivered"
"2025-11-10 21:00:00","25.199143788890265","1 x Salad, 1 x Fries, 2 x Salad","Delivered"
"2025-11-10 22:00:00","27.375320561590613","2 x Fries, 2 x Sandwich, 1 x Pizza, 1 x Burger","Delivered"
"2025-11-10 23:00:00","23.2468702857583","1 x Burger, 1 x Pasta, 1 x Sandwich, 1 x Sandwich, 2 x Burger, 1 x Salad, 2 x Fries","Delivered"
"2025-11-11 00:00:00","20.46779867166589","2 x Pizza, 2 x Fries, 2 x Sandwich, 1 x Salad, 1 x Pasta","Delivered"
"2025-11-11 01:00:00","21.307395886908395","1 x Pasta, 1 x Burger, 1 x Sandwich, 1 x Pizza, 1 x Pasta, 1 x Wrap","Delivered"
"2025-11-11 02:00:00","18.125948501536858","1 x Fries, 1 x Sandwich","Delivered"
"2025-11-11 03:00:00","22.029311073158873","1 x Pizza, 2 x Pasta, 1 x Pizza","Delivered"
"2025-11-11 04:00:00","30.93342811144626","1 x Wrap, 2 x Wrap, 1 x Pizza, 1 x Burger, 1 x Burger, 1 x Pasta, 2 x Pizza","Delivered"
"2025-11-11 05:00:00","17.568524146353585","1 x Burger, 1 x Salad, 1 x Burger, 2 x Fries, 1 x Pasta","Delivered"
"2025-11-11 06:00:00","20.794232224239185","1 x Salad, 2 x Wrap, 2 x Pasta, 1 x Salad","Delivered"
"2025-11-11 07:00:00","20.645342993729148","1 x Sandwich, 1 x Pasta, 1 x Sandwich, 1 x Wrap","Delivered"
"2025-11-11 08:00:00","23.98197209451144","1 x Fries, 1 x Fries, 1 x Pasta","Delivered"
"2025-11-11 09:00:00","18.45377204871619","1 x Fries, 1 x Fries, 2 x Pizza","Delivered"
"2025-11-11 10:00:00","23.649806557766183","1 x Pizza, 1 x Salad, 2 x Salad, 1 x Fries","Delivered"
"2025-11-11 11:00:00","25.36472677018251","2 x Pizza, 2 x Sandwich, 1 x Sandwich","Delivered"
"2025-11-11 12:00:00","34.63148586148056","1 x Sandwich, 1 x Pasta, 1 x Salad, 1 x Pizza, 2 x Salad, 1 x Wrap, 2 x Salad","Delivered"
"2025-11-11 13:00:00","27.343491281522375","1 x Wrap, 1 x Pizza, 1 x Salad","Delivered"
"2025-11-11 14:00:00","24.174911933329312","1 x Salad, 1 x Sandwich, 1 x Salad, 1 x Pizza, 1 x Fries","Delivered"
